(at) the olympic games 	olimpiai játékok(on)
skateboarding 	gördeszkázás
skiing 	síelés
skis 	síléc
snooker 	biliárd
snowboarding 	snowboardozás
solitary 	egyéni
spades 	pikk
spectator 	néző
spokes 	küllők
sporting event 	sportesemény
sports equipment 	sportfelszerelés, eszköz
sports event 	sportesemény
sportsman 	sportoló
sportswoman 	sportolónő
squash 	fallabda / squash
squash court 	fallabdapálya
squash racquet 	fallabda ütő / squash ütő
stalemate 	patt
stand 	lelátó
suit 	szín
supporter 	támogató, rajongó
surfing 	szörfözés
swimming 	úszás
swimming pool 	úszómedence
table football 	csocsó
table tennis 	asztali tenisz / ping-pong
tackle 	szerelés
team 	csapat
technical 	műszaki
ten-pin bowling 	bowling / tekézés
tennis 	tenisz
tennis court 	teniszpálya
tennis racquet 	teniszütő
the (football) world cup 	(labdarúgó) világbajnokság
the olympics 	olimpia
throw-in 	bedobás
to be a hungarian international player 	válogatott csapatba bevesz
to be a sporty person 	sportos személy
to be capped for hungary 	válogatott csapatba bevesz
to be good at sport 	jó a sportokban
to be interested in a sport 	érdeklődik a sport iránt
to be keen on sport 	szívesen, örömmel sportol
to be sent off 	kiállított
to beat / to defeat 	legyőz
to book 	sárga vagy piros lapot adni
to break a record (for a sport) 	megdönti a rekordot
to castle 	sáncolni
to come first 	első lesz
to come last 	utolsó lesz
to come second 	második lesz
to cut the cards 	kártyát emelni
to deal the cards 	kártyát osztani
to do a little sport 	keveset sportol
to do a lot of sport 	sokat sportol
to do aerobics 	tornázik
to do exercise 	testmozgást végez
to do gymnastics 	tornázik
to do much sport 	sokat sportol
to do some / any sport 	sportol
to draw 	döntetlen játék / döntetlen mérkőzés
to draw with … 	döntetlenre végződik
to get some exercise 	tornázik
to go (horse) riding 	lovagol
to go cycling 	biciklizik
to go fishing 	halászik
to go jogging 	kocog
to go skiing 	síel
to go swimming 	úszik
to have a puncture 	defeket kap
to head the ball 	labdát fejelni
to hold a record 	tartja a rekordot
to kick the ball 	labdát rúgni
to lose (by two goals) 	veszít (két góllal)
to lose 	veszíteni
to lose a point 	pontot veszít
to move 	lépni
to pass the ball 	passzolni
to play 	játszani
to play at home 	hazai pályán játszani
to play away 	idegenben játszani
to play chess 	sakkozik
to play football 	focizik
to play games 	játszik
to play tennis 	teniszezik
to qualify for the final 	bejut a döntőbe
to qualify for the semi-final 	bejut az elődöntőbe
to resign 	lemondani / feladni
to ride a bicycle vagy to ride a bike 	kerékpározni/biciklizni
to ride a bike 	biciklizik
to ride a horse 	lovagol
to score 	pontot szerez
to score a goal 	gólt szerez
to score a point 	pontot szerez
to send off 	játákból való kiállítás
to shoot 	kapura lőni
to shuffle the cards 	megkeverni a kártyát
to take a penalty 	büntetőt rúg
to take exercise 	tornázik
to take part in physical activities 	testedzést végez
to take part in sporting activities 	sporttevékenységben vesz részt
to take the lead 	átveszi a vezetést
to take up a sport 	elkezd vmit sportolni
to take vagy to capture 	elfogni
to watch 	nézni
to win (by two goals) 	nyer (két góllal)
to win 	nyerni
to win a bronze medal in the … 	bronzérmet nyer vmiben
to win a gold medal in the … 	aranyérmet nyer vmiben
to win a point 	pontot nyer
to win a silver medal in the … 	ezüstérmet nyer vmiben
touchline 	oldalvonal
tournament 	bajnokság
training (session) 	edzés
training 	edzés
trick 	trükk
triple jump 	hármasugrás
tyre 	abroncs
umpire 	bíró
victory 	győzelem
volleyball 	röplabda
walking 	sétálás
water polo 	vízilabda
water skiing 	vízisíelés
weightlifting 	súlyemelés
well, i don’t get much (physical) exercise these days. 	nos, mostanában nem tornázom sokat.
wheel 	kerék
win 	nyereség
windsurfing 	széllovaglás
winner 	nyertes
workout 	testedzés
world champion 	világbajnok
world cup 	világbajnokság
world record 	világrekord
wrestling 	birkózás
yellow card 	sárga lap
yoga 	jóga
your move! 	te lépésed!
your turn! 	te jössz!
